Season,Winner-Country,Winner,Score,Runners-up,Runners-up-Country,Venue,Attendance
1960-61, Italy,Fiorentina,4-1,Rangers, Scotland," Ibrox Stadium, Glasgow","80,000"
1961-62, Spain,Atlético Madrid,3-0,Fiorentina, Italy," Neckarstadion, Stuttgart","67,186"
1962-63, England,Tottenham Hotspur,5-1,Atlético Madrid, Spain," De Kuip, Rotterdam","49,143"
1963-64, Portugal,Sporting CP,1-0,MTK Hungária, Hungary," Bosuil Stadium, Antwerp","17,132"
1964-65, England,West Ham United,2-0,1860 Munich, West Germany," Wembley Stadium, London","97,974"
1965-66, West Germany,Borussia Dortmund,2-1,Liverpool, England," Hampden Park, Glasgow","41,657"
1966-67, West Germany,Bayern Munich,1-0,Rangers, Scotland," Städtisches Stadion, Nuremberg","69,480"
1967-68, Italy,Milan,2-0,Hamburg, West Germany," De Kuip, Rotterdam","53,276"
1968-69, Czechoslovakia,Slovan Bratislava,3-2,Barcelona, Spain," St. Jakob Stadium, Basel","19,478"
1969-70, England,Manchester City,2-1,Górnik Zabrze, Poland," Prater Stadium, Vienna","7,968"
1970-71, England,Chelsea,2-1,Real Madrid, Spain," Karaiskakis Stadium, Piraeus","66,000"
1971-72, Scotland,Rangers,3-2,Dynamo Moscow, Soviet Union," Camp Nou, Barcelona","24,701"
1972-73, Italy,Milan,1-0,Leeds United, England," Kaftanzoglio Stadium, Thessaloniki","40,154"
1973-74, East Germany,Magdeburg,2-0,Milan, Italy," De Kuip, Rotterdam","6,461"
1974-75, Soviet Union,Dynamo Kyiv,3-0,Ferencváros, Hungary," St. Jakob Stadium, Basel","10,897"
1975-76, Belgium,Anderlecht,4-2,West Ham United, England," Heysel Stadium, Brussels","58,000"
1976-77, West Germany,Hamburg,2-0,Anderlecht, Belgium," Olympisch Stadion, Amsterdam","66,000"
1977-78, Belgium,Anderlecht,4-0,Austria Wien, Austria," Parc des Princes, Paris","48,769"
1978-79, Spain,Barcelona,4-3,Fortuna Düsseldorf, West Germany," St. Jakob Stadium, Basel","58,000"
1979-80, Spain,Valencia,0-0*[D],Arsenal, England," Heysel Stadium, Brussels","40,000"
1980-81, Soviet Union,Dinamo Tbilisi,2-1,Carl Zeiss Jena, East Germany," Rheinstadion, Düsseldorf","8,000"
1981-82, Spain,Barcelona,2-1,Standard Liège, Belgium," Camp Nou, Barcelona","100,000"
1982-83, Scotland,Aberdeen,2-1,Real Madrid, Spain," Nya Ullevi, Gothenburg","17,804"
1983-84, Italy,Juventus,2-1,Porto, Portugal," St. Jakob Stadium, Basel","60,000"
1984-85, England,Everton,3-1,Rapid Wien, Austria," De Kuip, Rotterdam","38,500"
1985-86, Soviet Union,Dynamo Kyiv,3-0,Atlético Madrid, Spain," Stade de Gerland, Lyon","39,300"
1986-87, Netherlands,Ajax,1-0,Lokomotive Leipzig, East Germany," Spyros Louis Stadium, Athens","35,000"
1987-88, Belgium,Mechelen,1-0,Ajax, Netherlands," Stade de la Meinau, Strasbourg","39,446"
1988-89, Spain,Barcelona,2-0,Sampdoria, Italy," Wankdorf Stadium, Bern","45,000"
1989-90, Italy,Sampdoria,2-0,Anderlecht, Belgium," Nya Ullevi, Gothenburg","20,103"
1990-91, England,Manchester United,2-1,Barcelona, Spain," De Kuip, Rotterdam","45,000"
1991-92, Germany,Werder Bremen,2-0,Monaco, France," Estádio da Luz, Lisbon","16,000"
1992-93, Italy,Parma,3-1,Royal Antwerp, Belgium," Wembley Stadium, London","37,393"
1993-94, England,Arsenal,1-0,Parma, Italy," Parken Stadium, Copenhagen","33,765"
1994-95, Spain,Real Zaragoza,2-1,Arsenal, England," Parc des Princes, Paris","42,424"
1995-96, France,Paris Saint-Germain,1-0,Rapid Wien, Austria," King Baudouin Stadium, Brussels","37,500"
1996-97, Spain,Barcelona,1-0,Paris Saint-Germain, France," De Kuip, Rotterdam","36,802"
1997-98, England,Chelsea,1-0,Stuttgart, Germany," Råsunda Stadium, Stockholm","30,216"
1998-99, Italy,Lazio,2-1,Mallorca, Spain," Villa Park, Birmingham","33,000"
