Final,Winner,Score,Runner-up,Venue,Attendance
1961,Aston Villa,3–2,Rotherham United,Millmoor,"12,226"
1962,Norwich City,4–0,Rochdale,Spotland,"11,123"
1963,Birmingham City,3–1,Aston Villa,St Andrew's,"31,850"
1964,Leicester City,4–3,Stoke City,Victoria Ground,"22,309"
1965,Chelsea,3–2,Leicester City,Stamford Bridge,"20,690"
1966,West Bromwich Albion,5–3,West Ham United,Boleyn Ground,"28,341"
1967,Queens Park Rangers,3–2,West Bromwich Albion,Wembley Stadium,"97,952"
1968,Leeds United,1–0,Arsenal,Wembley Stadium,"97,887"
1969,Swindon Town,3–1,Arsenal,Wembley Stadium,"98,189"
1970,Manchester City,2–1,West Bromwich Albion,Wembley Stadium,"97,963"
1971,Tottenham Hotspur,2–0,Aston Villa,Wembley Stadium,"100,000"
1972,Stoke City,2–1,Chelsea,Wembley Stadium,"97,852"
1973,Tottenham Hotspur,1–0,Norwich City,Wembley Stadium,"100,000"
1974,Wolverhampton Wanderers,2–1,Manchester City,Wembley Stadium,"97,886"
1975,Aston Villa,1–0,Norwich City,Wembley Stadium,"95,946"
1976,Manchester City,2–1,Newcastle United,Wembley Stadium,"100,000"
1977,Aston Villa,3–2,Everton,Wembley Stadium,"100,000"
1978,Nottingham Forest,1–0,Liverpool,Wembley Stadium,"100,000"
1979,Nottingham Forest,3–2,Southampton,Wembley Stadium,"96,952"
1980,Wolverhampton Wanderers,1–0,Nottingham Forest,Wembley Stadium,"96,527"
1981,Liverpool,3–2,West Ham United,Wembley Stadium,"100,000"
1982,Liverpool,3–1,Tottenham Hotspur,Wembley Stadium,"100,000"
1983,Liverpool,2–1,Manchester United,Wembley Stadium,"99,304"
1984,Liverpool,1–0,Everton,Wembley Stadium,"100,000"
1985,Norwich City,1–0,Sunderland,Wembley Stadium,"100,000"
1986,Oxford United,3–0,Queens Park Rangers,Wembley Stadium,"90,396"
1987,Arsenal,2–1,Liverpool,Wembley Stadium,"96,000"
1988,Luton Town,3–2,Arsenal,Wembley Stadium,"95,732"
1989,Nottingham Forest,3–1,Luton Town,Wembley Stadium,"76,130"
1990,Nottingham Forest,1–0,Oldham Athletic,Wembley Stadium,"74,343"
1991,Sheffield Wednesday,1–0,Manchester United,Wembley Stadium,"77,612"
1992,Manchester United,1–0,Nottingham Forest,Wembley Stadium,"76,810"
1993,Arsenal,2–1,Sheffield Wednesday,Wembley Stadium,"74,007"
1994,Aston Villa,3–1,Manchester United,Wembley Stadium,"77,231"
1995,Liverpool,2–1,Bolton Wanderers,Wembley Stadium,"75,595"
1996,Aston Villa,3–0,Leeds United,Wembley Stadium,"77,065"
1997,Leicester City,2–1,Middlesbrough,Wembley Stadium,"76,757"
1998,Chelsea,2–0,Middlesbrough,Wembley Stadium,"77,698"
1999,Tottenham Hotspur,1–0,Leicester City,Wembley Stadium,"77,892"
2000,Leicester City,2–1,Tranmere Rovers,Wembley Stadium,"74,313"
2001,Liverpool,1–1 *[a],Birmingham City,Millennium Stadium,"73,500"
2002,Blackburn Rovers,2–1,Tottenham Hotspur,Millennium Stadium,"72,500"
2003,Liverpool,2–0,Manchester United,Millennium Stadium,"74,500"
2004,Middlesbrough,2–1,Bolton Wanderers,Millennium Stadium,"72,634"
2005,Chelsea,3–2,Liverpool,Millennium Stadium,"78,000"
2006,Manchester United,4–0,Wigan Athletic,Millennium Stadium,"66,866"
2007,Chelsea,2–1,Arsenal,Millennium Stadium,"70,073"
2008,Tottenham Hotspur,2–1,Chelsea,Wembley Stadium,"87,660"
2009,Manchester United,0–0 *[b],Tottenham Hotspur,Wembley Stadium,"88,217"
2010,Manchester United,2–1,Aston Villa,Wembley Stadium,"88,596"
2011,Birmingham City,2–1,Arsenal,Wembley Stadium,"88,851"
2012,Liverpool,2–2 *[c],Cardiff City,Wembley Stadium,"89,041"
2013,Swansea City,5–0,Bradford City,Wembley Stadium,"82,597"
2014,Manchester City,3–1,Sunderland,Wembley Stadium,"84,697"
2015,Chelsea,2–0,Tottenham Hotspur,Wembley Stadium,"89,294"
2016,Manchester City,1–1 *[d],Liverpool,Wembley Stadium,"86,206"
2017,Manchester United,3–2,Southampton,Wembley Stadium,"85,264"
2018,Manchester City,3–0,Arsenal,Wembley Stadium,"85,671"
2019,Manchester City,0–0 *[e],Chelsea,Wembley Stadium,"81,775"
